text,label
بی بی راحله,1
همینه,0
قرجه,0
گلریز,1
تاجما,1
قالسین,0
رحمان بردی,0
کالی,0
کمیا,1
خلف,0
عبلس,0
بالا بیگم,1
شعبالن,0
شریعه,1
سیندخت,1
نرذگس,1
محمد نصیر,0
سبزه,1
محمد میرزا,0
طاهره,1
اممید,0
دولتشاهی,0
مسافر,0
کامل,0
نورتقان,0
مسیر,0
تیرشاه,0
عبادعلی,0
سروش,0
زبیر,0
علیربضا,0
نوش	افرین,0
اسهاق,0
عبد القادیر,0
شذی,0
احمد مراد,0
امیر معید,0
خانمیر,1
شعب,0
ذکر اله,0
مهرجو,1
امام الدین,0
لفت,0
دفیل,0
نوروزقلی,0
سلوا,1
سلور,1
شوقعلی,0
بی بی عافیه,1
مهری ناز,1
شیرخسرو,0
پنجه علی,0
همده,1
مینا ال,1
فزیبا,1
اسلا م,0
آیلین,1
میر صحاب,0
سبوح,0
آناهید,1
بهروز,0
صید اکبر,0
نازیلا,1
فاتح,0
جهان خانم,1
صید,0
ذبی الله,0
عبدالخیل,0
تح الله,0
خدا بس,0
مسیح الدین,0
پرینوش,1
فکری,0
مهنز,0
مهرنوش ال,1
چنگیز,0
هنده تاگی,0
حسینی,0
صیا د,0
شهره نو,1
ممیش,0
گل نور,1
زرانگیس,1
مزدا,0
عبدالمتقیم,0
چرستو,1
میر جبار,0
رحیمعلی,0
ممهدی,0
کمر,0
بهزاد علی,0
پرنگ,0
مطعم,0
ازدا,0
عبداحلیم,0
سندین,0
محمد جعفر,0
گل ابرو,1
انلام الله,0
نسریه,1
شمسیه,1
رجب دوردی,0
جان صنم,1
صبحانعلی,0
ماه نسا,1
فیضالرحمان,0
ذکیه,1
صلاح لیین,0
میرحسن,0
عطا,0
عبدول خالق,0
جهان,0
صبا,1
شمیده,0
شاهرخ,0
اسیا,0
عبد الرحمان,0
محمد ستار,0
مرناز,1
محران,0
الله رحم,0
نوراتته,0
باقلا گل,0
کیلرش,0
علیا,0
عبای,0
هسعیده,0
قزتمام,1
ثنا اله,1
الف,0
مشاعل,0
پر دل,0
دلیر,0
گل محمد,0
جانمیرزا,0
میر سعید الدین,0
رقیب,0
ذهره,1
قا سم,0
غلامرصا,0
بس نسا,1
ونس,0
بهتر خانم,0
بابا جان,0
نوحید,0
نبین,0
غلامعیاس,0
نفیسه,1
اشرف الحاجیه,1
شاهی طلا,0
ولی حسین,0
جمعه دردی,1
کسری,0
محمد ارشاد,0
حجی حسین,0
زرگل,1
حجت	الله,0
الیرافت,1
عذراء,1
محمدویل,0
میر سلمان,0
لال ملک,0
بی نظیر,1
رادمن,0
محمدمجید,0
طغیه,0
زیبا بیگم,1
الهین بخش,0
حاج الف,0
اخطر,0
عنیف,0
بابایار,0
کسرا,0
حاج خانعلی,0
عبدالخالد,0
شاه ولی,0
قابد,0
ضرغام,0
حقیقه,1
جشید,0
سلطانرضا,0
بختیاری,0
آنتا,1
لیداال,1
خوجه قلی,0
یوسفی,0
نور بخش,1
فربد,0
مهلا,1
مر ضیه,1
سعیدکاظم,0
هلال الدین,0
دووی قلیچ,0
کریم قلی,0
وجه اله,0
امیراحسان,0
محمدر ضا,0
عبدوالوان,0
حکیمه صغری,1
ژابیز,0
واهیک,0
یوتام,0
میرسعادت,0
رسون,0
قارلی,0
فقیهه,1
توی محمد,0
اذربرزین,0
عبداللمطلب,0
زری ماه,1
عبد الوفا,0
فرید رضا,0
سعیداله,0
احسان الخ,0
خدیجه بی بی,1
اللهه,0
یاخشی,0
قطعه,1
احترام الملوک,1
شمیران,0
مرطوبه,1
محمد انوار,0
مپگان,0
خجوردی,0
اللهی,0
تحفه,1
شیخ نبی,0
البرز,0
عبدالقادیر,0
صحبت,1
